State,County,# Firearm Fatalities,County Value,AIAN,Asian,Black,Hispanic,White
Utah,Wasatch,21,13,,,,,
Utah,Washington,113,14,,,,,
Utah,Wayne,,,,,,,
Utah,Weber,209,17,,,,10,19
Vermont,Addison,13,7,,,,,
Vermont,Bennington,23,13,,,,,
Vermont,Caledonia,30,20,,,,,
Vermont,Chittenden,61,7,,,,,
Vermont,Essex,,,,,,,
Vermont,Franklin,26,11,,,,,
Vermont,Grand Isle,,,,,,,
Vermont,Lamoille,13,10,,,,,
Vermont,Orange,22,15,,,,,
Vermont,Orleans,19,14,,,,,
Vermont,Rutland,41,14,,,,,
Vermont,Washington,42,14,,,,,
Vermont,Windham,26,12,,,,,
Vermont,Windsor,37,13,,,,,
Virginia,Accomack,25,15,,,,,
Virginia,Albemarle,45,8,,,,,
Virginia,Alexandria City,39,5,,,6,,6
Virginia,Alleghany,10,13,,,,,
Virginia,Amelia,19,29,,,,,
Virginia,Amherst,22,14,,,,,
Virginia,Appomattox,17,22,,,,,
Virginia,Arlington,32,3,,,,,
Virginia,Augusta,48,13,,,,,
Virginia,Bath,,,,,,,
Virginia,Bedford,63,16,,,,,
Virginia,Bland,,,,,,,
Virginia,Botetourt,28,17,,,,,
Virginia,Bristol City,,,,,,,
Virginia,Brunswick,,,,,,,
Virginia,Buchanan,24,22,,,,,
Virginia,Buckingham,10,12,,,,,
Virginia,Buena Vista City,,,,,,,
Virginia,Campbell,42,15,,,,,
Virginia,Caroline,27,18,,,,,
Virginia,Carroll,23,15,,,,,
Virginia,Charles City,,,,,,,
Virginia,Charlotte,13,22,,,,,
Virginia,Charlottesville City,16,7,,,,,
Virginia,Chesapeake City,170,14,,,16,14,14
Virginia,Chesterfield,216,13,,,19,,12
Virginia,Clarke,12,17,,,,,
Virginia,Colonial Heights City,21,24,,,,,
Virginia,Covington City,,,,,,,
Virginia,Craig,,,,,,,
Virginia,Culpeper,33,13,,,,,
Virginia,Cumberland,,,,,,,
Virginia,Danville City,73,35,,,41,,30
Virginia,Dickenson,19,26,,,,,
Virginia,Dinwiddie,23,16,,,,,
Virginia,Emporia City,,,,,,,
Virginia,Essex,,,,,,,
Virginia,Fairfax,252,4,,2,4,3,6
Virginia,Fairfax City,,,,,,,
Virginia,Falls Church City,,,,,,,
Virginia,Fauquier,33,9,,,,,
Virginia,Floyd,10,13,,,,,
Virginia,Fluvanna,14,11,,,,,
Virginia,Franklin,39,14,,,,,
Virginia,Franklin City,,,,,,,
Virginia,Frederick,53,12,,,,,
Virginia,Fredericksburg City,21,15,,,,,
Virginia,Galax City,,,,,,,
Virginia,Giles,13,15,,,,,
Virginia,Gloucester,35,19,,,,,
Virginia,Goochland,14,12,,,,,
Virginia,Grayson,12,15,,,,,
Virginia,Greene,14,14,,,,,
Virginia,Greensville,,,,,,,
Virginia,Halifax,30,17,,,,,
Virginia,Hampton City,132,20,,,25,,15
Virginia,Hanover,56,11,,,,,
Virginia,Harrisonburg City,19,7,,,,,
Virginia,Henrico,199,12,,,21,,10
Virginia,Henry,50,20,,,,,
Virginia,Highland,,,,,,,
Virginia,Hopewell City,27,24,,,,,
Virginia,Isle of Wight,33,18,,,,,
Virginia,James City,35,9,,,,,
Virginia,King and Queen,,,,,,,
Virginia,King George,18,14,,,,,
Virginia,King William,16,19,,,,,
Virginia,Lancaster,10,18,,,,,
Virginia,Lee,20,17,,,,,
Virginia,Lexington City,,,,,,,
Virginia,Loudoun,122,6,,,6,,9
Virginia,Louisa,39,22,,,,,
Virginia,Lunenburg,15,25,,,,,
Virginia,Lynchburg City,44,11,,,15,,10
Virginia,Madison,19,29,,,,,
Virginia,Manassas City,17,8,,,,,
Virginia,Manassas Park City,,,,,,,
Virginia,Martinsville City,17,26,,,,,
Virginia,Mathews,,,,,,,
Virginia,Mecklenburg,27,18,,,,,
Virginia,Middlesex,,,,,,,
Virginia,Montgomery,35,7,,,,,
Virginia,Nelson,13,17,,,,,
Virginia,New Kent,17,16,,,,,
Virginia,Newport News City,171,19,,,29,,12
Virginia,Norfolk City,250,20,,,30,,16
Virginia,Northampton,13,22,,,,,
Virginia,Northumberland,,,,,,,
Virginia,Norton City,,,,,,,
Virginia,Nottoway,,,,,,,
Virginia,Orange,21,12,,,,,
Virginia,Page,17,14,,,,,
Virginia,Patrick,19,21,,,,,
Virginia,Petersburg City,77,48,,,,,
Virginia,Pittsylvania,61,20,,,19,,21
Virginia,Poquoson City,,,,,,,
Virginia,Portsmouth City,119,25,,,30,,22
Virginia,Powhatan,18,13,,,,,
Virginia,Prince Edward,16,14,,,,,
Virginia,Prince George,23,12,,,,,
Virginia,Prince William,160,7,,,9,4,8
Virginia,Pulaski,27,16,,,,,
Virginia,Radford City,,,,,,,
Virginia,Rappahannock,,,,,,,
Virginia,Richmond,,,,,,,
Virginia,Richmond City,255,23,,,37,,8
Virginia,Roanoke,62,13,,,,,
Virginia,Roanoke City,96,19,,,27,,18
Virginia,Rockbridge,16,14,,,,,
Virginia,Rockingham,48,12,,,,,
Virginia,Russell,23,17,,,,,
Virginia,Salem City,21,16,,,,,
Virginia,Scott,34,31,,,,,
Virginia,Shenandoah,34,16,,,,,
Virginia,Smyth,29,19,,,,,
Virginia,Southampton,11,12,,,,,
Virginia,Spotsylvania,66,10,,,11,,11
Virginia,Stafford,66,9,,,,,
Virginia,Staunton City,19,15,,,,,
Virginia,Suffolk City,46,10,,,12,,9
Virginia,Surry,,,,,,,
Virginia,Sussex,,,,,,,
Virginia,Tazewell,36,17,,,,,
Virginia,Virginia Beach City,266,12,,,14,,13
Virginia,Warren,31,16,,,,,
Virginia,Washington,48,18,,,,,
Virginia,Waynesboro City,16,14,,,,,
Virginia,Westmoreland,10,11,,,,,
Virginia,Williamsburg City,,,,,,,
Virginia,Winchester City,11,8,,,,,
Virginia,Wise,32,17,,,,,
Virginia,Wythe,22,15,,,,,
Virginia,York,28,8,,,,,
Washington,Adams,,,,,,,
Washington,Asotin,22,20,,,,,
Washington,Benton,115,12,,,,8,13
Washington,Chelan,47,12,,,,9,14
Washington,Clallam,73,19,,,,,
Washington,Clark,223,9,,,24,7,10
Washington,Columbia,,,,,,,
Washington,Cowlitz,77,14,,,,,
Washington,Douglas,22,10,,,,,
Washington,Ferry,10,26,,,,,
Washington,Franklin,39,8,,,,7,10
Washington,Garfield,,,,,,,
Washington,Grant,51,11,,,,7,13
Washington,Grays Harbor,56,15,,,,,
Washington,Island,47,11,,,,,
Washington,Jefferson,21,13,,,,,
Washington,King,860,8,15,4,17,8,8
Washington,Kitsap,135,10,,,,,
Washington,Kittitas,29,13,,,,,
Washington,Klickitat,16,15,,,,,
Washington,Lewis,60,15,,,,,
Washington,Lincoln,11,21,,,,,
Washington,Mason,62,19,,,,,
Washington,Okanogan,34,16,,,,,
Washington,Pacific,13,12,,,,,
Washington,Pend Oreille,,,,,,,
Washington,Pierce,553,13,18,7,20,8,13
Washington,San Juan,,,,,,,
Washington,Skagit,72,11,,,,,
Washington,Skamania,,,,,,,
Washington,Snohomish,344,9,,2,,6,10
Washington,Spokane,314,12,,,25,,13
Washington,Stevens,36,16,,,,,
Washington,Thurston,151,11,,,,,
Washington,Wahkiakum,,,,,,,
Washington,Walla Walla,38,13,,,,,
Washington,Whatcom,119,11,,,,,
Washington,Whitman,20,8,,,,,
Washington,Yakima,197,16,41,,,14,16
West Virginia,Barbour,15,18,,,,,
West Virginia,Berkeley,96,17,,,21,,17
West Virginia,Boone,22,20,,,,,
West Virginia,Braxton,21,30,,,,,
West Virginia,Brooke,12,11,,,,,
West Virginia,Cabell,83,18,,,50,,15
West Virginia,Calhoun,,,,,,,
West Virginia,Clay,15,34,,,,,
West Virginia,Doddridge,10,24,,,,,
West Virginia,Fayette,33,15,,,,,
West Virginia,Gilmer,,,,,,,
West Virginia,Grant,,,,,,,
West Virginia,Greenbrier,35,20,,,,,
West Virginia,Hampshire,17,15,,,,,
West Virginia,Hancock,19,13,,,,,
West Virginia,Hardy,14,20,,,,,
West Virginia,Harrison,68,20,,,,,
West Virginia,Jackson,18,12,,,,,
West Virginia,Jefferson,32,11,,,,,
West Virginia,Kanawha,202,22,,,46,,20
West Virginia,Lewis,18,22,,,,,
West Virginia,Lincoln,17,16,,,,,
West Virginia,Logan,24,14,,,,,
West Virginia,Marion,47,17,,,,,
West Virginia,Marshall,22,14,,,,,
West Virginia,Mason,25,19,,,,,
West Virginia,McDowell,36,39,,,,,
West Virginia,Mercer,74,25,,,,,
West Virginia,Mineral,23,17,,,,,
West Virginia,Mingo,16,13,,,,,
West Virginia,Monongalia,48,9,,,,,
West Virginia,Monroe,14,21,,,,,
West Virginia,Morgan,28,32,,,,,
West Virginia,Nicholas,35,28,,,,,
West Virginia,Ohio,28,13,,,,,
West Virginia,Pendleton,,,,,,,
West Virginia,Pleasants,,,,,,,
West Virginia,Pocahontas,,,,,,,
West Virginia,Preston,22,13,,,,,
West Virginia,Putnam,34,12,,,,,
West Virginia,Raleigh,84,22,,,,,
West Virginia,Randolph,27,19,,,,,
West Virginia,Ritchie,14,29,,,,,
West Virginia,Roane,22,31,,,,,
West Virginia,Summers,15,23,,,,,
West Virginia,Taylor,10,12,,,,,
West Virginia,Tucker,,,,,,,
West Virginia,Tyler,,,,,,,
West Virginia,Upshur,12,10,,,,,
West Virginia,Wayne,31,15,,,,,
West Virginia,Webster,13,31,,,,,
West Virginia,Wetzel,11,14,,,,,
West Virginia,Wirt,,,,,,,
West Virginia,Wood,57,13,,,,,
West Virginia,Wyoming,21,20,,,,,
Wisconsin,Adams,13,13,,,,,
Wisconsin,Ashland,19,24,,,,,
Wisconsin,Barron,29,13,,,,,
Wisconsin,Bayfield,15,20,,,,,
Wisconsin,Brown,102,8,,,,,
Wisconsin,Buffalo,,,,,,,
Wisconsin,Burnett,,,,,,,
Wisconsin,Calumet,17,7,,,,,
Wisconsin,Chippewa,42,13,,,,,
Wisconsin,Clark,16,9,,,,,
Wisconsin,Columbia,34,12,,,,,
Wisconsin,Crawford,10,12,,,,,
Wisconsin,Dane,186,7,,,17,,7
Wisconsin,Dodge,36,8,,,,,
Wisconsin,Door,16,12,,,,,
Wisconsin,Douglas,22,10,,,,,
Wisconsin,Dunn,19,8,,,,,
Wisconsin,Eau Claire,65,13,,,,,
Wisconsin,Florence,,,,,,,
Wisconsin,Fond du Lac,44,9,,,,,
Wisconsin,Forest,,,,,,,
Wisconsin,Grant,30,12,,,,,
Wisconsin,Green,12,6,,,,,
Wisconsin,Green Lake,,,,,,,
Wisconsin,Iowa,,,,,,,
Wisconsin,Iron,,,,,,,
Wisconsin,Jackson,18,18,,,,,
Wisconsin,Jefferson,39,9,,,,,
Wisconsin,Juneau,15,11,,,,,
Wisconsin,Kenosha,84,10,,,,,
Wisconsin,Kewaunee,11,11,,,,,
Wisconsin,La Crosse,46,8,,,,,
Wisconsin,Lafayette,10,12,,,,,
Wisconsin,Langlade,13,14,,,,,
Wisconsin,Lincoln,16,12,,,,,
Wisconsin,Manitowoc,53,13,,,,,
Wisconsin,Marathon,64,9,,,,,
Wisconsin,Marinette,22,11,,,,,
Wisconsin,Marquette,12,16,,,,,
Wisconsin,Menominee,,,,,,,
Wisconsin,Milwaukee,843,18,,7,41,8,9
Wisconsin,Monroe,27,12,,,,,
Wisconsin,Oconto,21,11,,,,,
Wisconsin,Oneida,20,11,,,,,
Wisconsin,Outagamie,86,9,,,,,
Wisconsin,Ozaukee,29,7,,,,,
Wisconsin,Pepin,,,,,,,
Wisconsin,Pierce,15,7,,,,,
Wisconsin,Polk,30,14,,,,,
Wisconsin,Portage,26,7,,,,,
Wisconsin,Price,11,16,,,,,
Wisconsin,Racine,93,9,,,14,,10
Wisconsin,Richland,,,,,,,
Wisconsin,Rock,80,10,,,,,
Wisconsin,Rusk,11,16,,,,,
Wisconsin,Sauk,32,10,,,,,
Wisconsin,Sawyer,14,17,,,,,
Wisconsin,Shawano,13,6,,,,,
Wisconsin,Sheboygan,40,7,,,,,
Wisconsin,St. Croix,33,7,,,,,
Wisconsin,Taylor,11,11,,,,,
Wisconsin,Trempealeau,17,12,,,,,
Wisconsin,Vernon,16,10,,,,,
Wisconsin,Vilas,19,17,,,,,
Wisconsin,Walworth,50,10,,,,,
Wisconsin,Washburn,12,15,,,,,
Wisconsin,Washington,53,8,,,,,
Wisconsin,Waukesha,161,8,,,,,
Wisconsin,Waupaca,30,12,,,,,
Wisconsin,Waushara,16,13,,,,,
Wisconsin,Winnebago,75,9,,,,,
Wisconsin,Wood,38,10,,,,,
Wyoming,Albany,26,14,,,,,
Wyoming,Big Horn,,,,,,,
Wyoming,Campbell,25,11,,,,,
Wyoming,Carbon,19,25,,,,,
Wyoming,Converse,15,22,,,,,
Wyoming,Crook,,,,,,,
Wyoming,Fremont,52,26,24,,,,28
Wyoming,Goshen,12,18,,,,,
Wyoming,Hot Springs,,,,,,,
Wyoming,Johnson,,,,,,,
Wyoming,Laramie,110,22,,,,,
Wyoming,Lincoln,15,16,,,,,
Wyoming,Natrona,92,23,,,,,
Wyoming,Niobrara,,,,,,,
Wyoming,Park,36,25,,,,,
Wyoming,Platte,14,33,,,,,
Wyoming,Sheridan,26,17,,,,,
Wyoming,Sublette,15,31,,,,,
Wyoming,Sweetwater,50,23,,,,,
Wyoming,Teton,10,9,,,,,
Wyoming,Uinta,22,21,,,,,
Wyoming,Washakie,,,,,,,
Wyoming,Weston,,,,,,,
