STNAME,CTYNAME,POPESTIMATE2019,NPOPCHG_2019,BIRTHS2019,DEATHS2019,NATURALINC2019,INTERNATIONALMIG2019,DOMESTICMIG2019,NETMIG2019,RESIDUAL2019,GQESTIMATES2019,RBIRTH2019,RDEATH2019,RNATURALINC2019,RINTERNATIONALMIG2019,RDOMESTICMIG2019,RNETMIG2019,Personal income (Thousands of dollars) ,# Firearm Fatalities,County Value,AIAN,Asian,Black,Hispanic,White
Alabama,Autauga County,55869,336,624,541,83,-16,270,254,-1,455,11.20267141,9.712572485,1.490098921,-0.287247985,4.847309743,4.560061758,2474364,46,17,,,,,
Alabama,Baldwin County,223234,5379,2304,2326,-22,80,5297,5377,24,2170,10.44687127,10.54662438,-0.099753111,0.362738586,24.0178286,24.38056719,10791564,153,14,,,,,
Alabama,Barbour County,24686,-186,256,312,-56,13,-141,-128,-2,2812,10.33132895,12.59130716,-2.259978207,0.524637798,-5.690302272,-5.165664474,877107,27,21,,,19,,25
Alabama,Bibb County,22394,27,240,252,-12,10,31,41,-2,2148,10.72362101,11.25980206,-0.53618105,0.446817542,1.38513438,1.831951922,703755,23,20,,,,,
Alabama,Blount County,57826,55,651,657,-6,6,59,65,-4,489,11.26326808,11.367077,-0.103808922,0.103808922,1.020787737,1.124596659,2138313,62,21,,,,,
Alabama,Bullock County,10101,-73,109,109,0,-1,-72,-73,0,1663,10.75215783,10.75215783,0,-0.09864365,-7.102342787,-7.200986436,285410,13,25,,,,,
Alabama,Butler County,19448,-183,213,272,-59,18,-141,-123,-1,333,10.90099542,13.92051997,-3.019524553,0.921210881,-7.216151897,-6.294941017,742470,21,21,,,,,
Alabama,Calhoun County,113605,-726,1269,1532,-263,14,-475,-461,-2,2833,11.13470448,13.44236979,-2.30766531,0.122841499,-4.167836586,-4.044995086,4301394,155,27,,,29,,27
Alabama,Chambers County,33254,-346,354,441,-87,6,-265,-259,0,458,10.59024142,13.19292787,-2.602686451,0.179495617,-7.927723098,-7.748227481,1200438,42,25,,,15,,34
Alabama,Cherokee County,26196,182,222,343,-121,-3,306,303,0,290,8.504117985,13.13924536,-4.63512737,-0.114920513,11.72189236,11.60697184,955148,36,28,,,,,
Alabama,Chilton County,44428,265,551,503,48,35,184,219,-2,393,12.43918683,11.35555531,1.08363152,0.790147983,4.153920827,4.944068811,1616126,31,14,,,,,
Alabama,Choctaw County,12589,-244,133,176,-43,-2,-199,-201,0,129,10.46337818,13.84627488,-3.382896704,-0.157344033,-15.65573126,-15.81307529,491727,10,15,,,,,
Alabama,Clarke County,23622,-296,266,324,-58,-5,-232,-237,-1,280,11.19057636,13.63062684,-2.440050484,-0.21034918,-9.760201935,-9.970551115,876536,23,19,,,,,
Alabama,Clay County,13235,-59,143,187,-44,-2,-12,-14,-1,255,10.78065513,14.09777979,-3.317124656,-0.150778393,-0.904670361,-1.055448754,453463,13,19,,,,,
Alabama,Cleburne County,14910,-100,187,189,-2,-11,-86,-97,-1,178,12.5,12.63368984,-0.13368984,-0.735294118,-5.748663102,-6.483957219,536859,16,21,,,,,
Alabama,Coffee County,52342,392,599,570,29,34,334,368,-5,498,11.48697887,10.930848,0.556130863,0.652015495,6.405093392,7.057108887,2280247,40,15,,,,,
Alabama,Colbert County,55241,237,630,719,-89,73,256,329,-3,474,11.42908976,13.04367545,-1.614585695,1.324323099,4.644201551,5.96852465,2146675,60,22,,,,,
Alabama,Conecuh County,12067,-225,123,182,-59,1,-167,-166,0,45,10.09893674,14.94314217,-4.844205427,0.082105177,-13.71156451,-13.62945934,405004,12,19,,,,,
Alabama,Coosa County,10663,20,89,122,-33,13,42,55,-2,196,8.354454144,11.4521731,-3.097718952,1.220313527,3.942551394,5.162864921,347519,14,26,,,,,
Alabama,Covington County,37049,96,413,543,-130,-5,235,230,-4,575,11.16186049,14.67527905,-3.513418556,-0.135131483,6.351179698,6.216048215,1332258,39,21,,,,,
Alabama,Crenshaw County,13772,-53,137,179,-42,3,-14,-11,0,132,9.928615429,12.97242454,-3.04380911,0.217414936,-1.014603037,-0.7971881,508007,10,14,,,,,
Alabama,Cullman County,83768,350,990,1050,-60,34,380,414,-4,1027,11.84309691,12.56086036,-0.717763449,0.406732621,4.545835178,4.952567799,3447019,62,15,,,,,
Alabama,Dale County,49172,29,648,546,102,18,-89,-71,-2,941,13.1821187,11.10715557,2.074963129,0.366169964,-1.810507044,-1.44433708,1864857,54,22,,,,,
Alabama,Dallas County,37196,-1098,438,542,-104,5,-1002,-997,3,853,11.60418599,14.35951782,-2.755331832,0.132467877,-26.54656246,-26.41409458,1376975,76,39,,,45,,26
Alabama,DeKalb County,71513,106,795,819,-24,44,90,134,-4,782,11.12510495,11.46095718,-0.335852225,0.615729079,1.259445844,1.875174923,2390228,67,19,,,,,
Alabama,Elmore County,81209,198,932,821,111,25,67,92,-5,4147,11.49056836,10.12205647,1.368511897,0.3082234,0.826038713,1.134262113,3635096,95,23,,,22,,24
Alabama,Escambia County,36633,109,420,474,-54,-1,166,165,-2,2472,11.48215482,12.95843187,-1.476277048,-0.027338464,4.538184999,4.510846536,1255712,46,25,,,17,,29
Alabama,Etowah County,102268,-343,1175,1487,-312,37,-62,-25,-6,2085,11.47018484,14.51588499,-3.045700145,0.361188799,-0.605235285,-0.244046486,3862708,95,19,,,13,,20
Alabama,Fayette County,16302,-143,174,225,-51,5,-97,-92,0,291,10.62692766,13.7417168,-3.114789141,0.305371484,-5.924206798,-5.618835313,583702,18,22,,,,,
Alabama,Franklin County,31362,64,432,367,65,29,-28,1,-2,272,13.78870093,11.71401213,2.074688797,0.925630386,-0.893712097,0.031918289,1100218,25,16,,,,,
Alabama,Geneva County,26271,-35,278,365,-87,-7,62,55,-3,229,10.57496624,13.88439812,-3.309431881,-0.266276128,2.358445708,2.09216958,959104,21,16,,,,,
Alabama,Greene County,8111,-98,96,93,3,0,-101,-101,0,45,11.76470588,11.39705882,0.367647059,0,-12.37745098,-12.37745098,263654,,,,,,,
Alabama,Hale County,14651,-98,190,181,9,-3,-103,-106,-1,221,12.92517007,12.31292517,0.612244898,-0.204081633,-7.006802721,-7.210884354,554860,19,26,,,,,
Alabama,Henry County,17205,32,167,213,-46,-1,79,78,0,199,9.715515737,12.39164582,-2.676130083,-0.058176741,4.595962534,4.537785793,749014,17,20,,,,,
Alabama,Houston County,105882,1112,1304,1137,167,11,936,947,-2,1415,12.38060878,10.79505535,1.585553425,0.104437651,8.886694643,8.991132294,4706434,91,17,,,18,,18
Alabama,Jackson County,51626,5,562,675,-113,-7,128,121,-3,597,10.88651486,13.07544045,-2.188925586,-0.13559716,2.47949093,2.343893769,1963648,61,23,,,,,
Alabama,Jefferson County,658573,-856,8422,7343,1079,460,-2375,-1915,-20,16663,12.77995026,11.14262346,1.637326802,0.698026255,-3.603939903,-2.905913648,37272714,986,30,,,46,12,19
Alabama,Lamar County,13805,-77,159,172,-13,-1,-64,-65,1,217,11.48553473,12.42460361,-0.939068877,-0.072236067,-4.623108318,-4.695344385,477369,10,14,,,,,
Alabama,Lauderdale County,92729,125,876,1136,-260,35,355,390,-5,2280,9.453254412,12.25901485,-2.805760442,0.377698521,3.830942142,4.208640663,3547651,63,14,,,,,
Alabama,Lawrence County,32924,-17,349,428,-79,-3,69,66,-4,229,10.59743415,12.99628027,-2.398846125,-0.091095422,2.095194717,2.004099294,1163396,37,22,,,,,
Alabama,Lee County,164542,886,1825,1133,692,303,-112,191,3,4913,11.12133529,6.904368704,4.216966587,1.846446353,-0.682514823,1.163931529,6673082,142,18,,,31,,14
Alabama,Limestone County,98915,2738,1014,864,150,32,2545,2577,11,2648,10.39509565,8.857359605,1.537736043,0.328050356,26.09025485,26.41830521,4445403,83,18,,,,,
Alabama,Lowndes County,9726,-248,116,141,-25,-1,-223,-224,1,96,11.77664975,14.31472081,-2.538071066,-0.101522843,-22.63959391,-22.74111675,403136,27,53,,,,,
Alabama,Macon County,18068,-253,172,264,-92,1,-162,-161,0,1597,9.453406249,14.50987936,-5.05647311,0.054961664,-8.903789607,-8.848827943,618054,48,51,,,,,
Alabama,Madison County,372909,5905,4242,3305,937,230,4721,4951,17,8940,11.46621292,8.93348272,2.532730199,0.621694713,12.76095973,13.38265445,20180319,340,19,,,23,,19
Alabama,Marengo County,18863,-193,209,276,-67,3,-129,-126,0,254,11.02349746,14.55734592,-3.533848466,0.158232021,-6.803976898,-6.645744877,762383,17,18,,,,,
Alabama,Marion County,29709,-41,302,405,-103,3,62,65,-3,735,10.15826031,13.62283254,-3.464572226,0.100909871,2.085470661,2.186380531,997184,28,19,,,,,
Alabama,Marshall County,96774,604,1395,1155,240,65,303,368,-4,1045,14.46015424,11.97238577,2.487768472,0.673770628,3.140807696,3.814578323,3668146,76,16,,,,,
Alabama,Mobile County,413210,-698,5443,4576,867,266,-1821,-1555,-10,7390,13.16136271,11.06492665,2.096436059,0.643197222,-4.403241134,-3.760043912,16541749,517,25,,,35,,20
Alabama,Monroe County,20733,-329,199,278,-79,-2,-249,-251,1,230,9.522670176,13.30302668,-3.780356502,-0.095705228,-11.91530087,-12.0110061,713536,22,21,,,23,,19
Alabama,Montgomery County,226486,-18,3058,2164,894,321,-1235,-914,2,9302,13.5014018,9.554294797,3.947107,1.417249829,-5.452658999,-4.03540917,10082179,304,27,,,34,,20
Alabama,Morgan County,119679,476,1402,1316,86,113,285,398,-8,2002,11.73801291,11.01799215,0.720020763,0.946073794,2.386115321,3.332189114,5011937,126,21,,,26,,22
Alabama,Perry County,8923,-147,95,121,-26,2,-124,-122,1,709,10.55966209,13.44967487,-2.890012783,0.222308676,-13.78313789,-13.56082921,287850,,,,,,,
Alabama,Pickens County,19930,-50,205,235,-30,14,-33,-19,-1,1878,10.27311451,11.77649712,-1.503382611,0.701578552,-1.653720872,-0.95214232,689720,10,10,,,,,
Alabama,Pike County,33114,-128,345,339,6,79,-210,-131,-3,2204,10.39845681,10.21761408,0.180842727,2.381095907,-6.329495449,-3.948399542,1257168,29,17,,,21,,15
Alabama,Randolph County,22722,-5,254,285,-31,-6,33,27,-1,390,11.17736364,12.54153007,-1.364166428,-0.264032212,1.452177166,1.188144954,767912,28,25,,,,,
Alabama,Russell County,57961,177,810,608,202,-49,26,-23,-2,574,13.99628494,10.50585339,3.490431552,-0.846688842,0.449263467,-0.397425375,1963480,83,29,,,35,,27
Alabama,St. Clair County,89512,858,983,975,8,23,828,851,-1,1582,11.03465308,10.94484919,0.089803891,0.258186186,9.294702693,9.552888879,3680439,144,14,,,12,,14
Alabama,Shelby County,217702,2119,2237,1626,611,137,1381,1518,-10,2416,10.32576711,7.505452531,2.820314574,0.632378227,6.374557162,7.006935389,12609053,73,17,,,,,
Alabama,Sumter County,12427,-207,136,163,-27,27,-207,-180,0,916,10.85351742,13.00825985,-2.154742428,2.154742429,-16.51969195,-14.36494952,396157,18,28,,,,,
Alabama,Talladega County,79978,-159,844,1044,-200,32,14,46,-5,3095,10.54242263,13.04062705,-2.498204416,0.399712707,0.174874309,0.574587016,2865397,113,28,,,25,,30
Alabama,Tallapoosa County,40367,-168,385,534,-149,2,-18,-16,-3,576,9.517688067,13.20115696,-3.683468888,0.049442535,-0.444982819,-0.395540283,1716099,43,21,,,,,
Alabama,Tuscaloosa County,209355,1036,2431,1872,559,221,261,482,-5,9954,11.64065755,8.963928806,2.676728741,1.058241595,1.249778535,2.308020131,8482108,163,16,,,18,,15
Alabama,Walker County,63521,-148,750,969,-219,-1,75,74,-3,852,11.79337998,15.23704694,-3.443666955,-0.015724507,1.179337998,1.163613492,2673001,78,24,,,,,
Alabama,Washington County,16326,-76,165,191,-26,14,-65,-51,1,147,10.08310926,11.67196285,-1.588853581,0.855536544,-3.972133953,-3.116597409,611577,18,22,,,,,
Alabama,Wilcox County,10373,-226,133,162,-29,0,-197,-197,0,108,12.6835781,15.44917032,-2.765592218,0,-18.78695403,-18.78695403,353015,16,30,,,,,
Alabama,Winston County,23629,-64,243,325,-82,2,17,19,-1,301,10.27006466,13.73568319,-3.465618528,0.084527281,0.71848189,0.803009171,841548,21,18,,,,,
Alaska,Aleutians East Borough,3337,-58,10,9,1,43,-103,-60,1,1731,2.970885324,2.673796791,0.297088532,12.77480689,-30.60011884,-17.82531194,205097,,,,,,,
Alaska,Aleutians West Census Area,5634,-6,38,7,31,53,-91,-38,1,2529,6.741174384,1.241795281,5.499379102,9.402164272,-16.14333866,-6.741174384,320998,,,,,,,
Alaska,Anchorage Municipality,288000,-2521,3923,1847,2076,364,-4972,-4608,11,7595,13.56216974,6.385247899,7.17692184,1.258381286,-17.18865867,-15.93027738,19869529,342,23,37,13,41,20,22
Alaska,Bethel Census Area,18386,167,403,150,253,2,-88,-86,0,327,22.01884988,8.195601694,13.82324819,0.109274689,-4.808086327,-4.698811638,844255,28,31,,,,,
Alaska,Bristol Bay Borough,836,-44,8,7,1,1,-46,-45,0,16,9.324009324,8.158508159,1.165501166,1.165501166,-53.61305361,-52.44755245,122032,,,,,,,
Alaska,Denali Borough,2097,65,14,9,5,8,51,59,1,105,6.781302979,4.359409058,2.421893921,3.875030274,24.703318,28.57834827,175547,,,,,,,
Alaska,Dillingham Census Area,4916,-75,87,42,45,1,-121,-120,0,52,17.56333905,8.478853336,9.084485717,0.20187746,-24.42717271,-24.22529525,300202,,,,,,,
Alaska,Fairbanks North Star Borough,96849,-1716,1533,506,1027,16,-2763,-2747,4,4689,15.68976634,5.178748708,10.51101763,0.1637549,-28.27842427,-28.11466937,5746996,128,26,51,,,,24
Alaska,Haines Borough,2530,42,20,7,13,0,28,28,1,0,7.971303308,2.789956158,5.18134715,0,11.15982463,11.15982463,181125,,,,,,,
Alaska,Hoonah-Angoon Census Area,2148,-7,20,18,2,4,-13,-9,0,0,9.295840112,8.3662561,0.929584011,1.859168022,-6.042296073,-4.18312805,140147,,,,,,,
Alaska,Juneau City and Borough,31974,-63,340,177,163,20,-247,-227,1,985,10.62317414,5.53029948,5.092874662,0.624892597,-7.717423568,-7.092530971,2316158,28,17,,,,,
Alaska,Kenai Peninsula Borough,58708,147,665,541,124,20,6,26,-3,1686,11.34144574,9.226649839,2.114795897,0.341096112,0.102328834,0.443424946,3182915,61,21,,,,,
Alaska,Ketchikan Gateway Borough,13901,45,153,88,65,24,-42,-18,-2,267,11.02424614,6.340742876,4.68350326,1.729293512,-3.026263645,-1.296970134,978386,13,19,,,,,
Alaska,Kodiak Island Borough,12998,-252,168,53,115,33,-400,-367,0,390,12.80097531,4.038402926,8.762572387,2.514477294,-30.47851265,-27.96403536,847282,14,21,,,,,
Alaska,Kusilvak Census Area,8314,-9,233,103,130,7,-146,-139,0,13,28.00985755,12.38204003,15.62781752,0.841497866,-17.55124121,-16.70974334,263441,27,66,,,,,
Alaska,Lake and Peninsula Borough,1592,-4,31,10,21,3,-28,-25,0,37,19.44792974,6.273525722,13.17440402,1.882057716,-17.56587202,-15.6838143,101289,,,,,,,
Alaska,Matanuska-Susitna Borough,108317,1202,1368,646,722,16,466,482,-2,2023,12.70006313,5.997252033,6.702811096,0.14853875,4.326191095,4.474729845,5247240,117,22,38,,,,21
Alaska,Nome Census Area,10004,-49,197,101,96,2,-147,-145,0,179,19.64401456,10.0712968,9.572717754,0.19943162,-14.65822406,-14.45879244,537353,16,32,,,,,
Alaska,North Slope Borough,9832,-18,151,57,94,1,-114,-113,1,2651,15.34396911,5.792094299,9.55187481,0.10161569,-11.5841886,-11.48257291,874517,16,33,,,,,
Alaska,Northwest Arctic Borough,7621,-73,167,90,77,7,-156,-149,-1,396,21.8086843,11.75318315,10.05550114,0.914136468,-20.37218413,-19.45804767,386264,22,57,,,,,
Alaska,Petersburg Borough,3266,22,30,29,1,2,19,21,0,43,9.216589862,8.9093702,0.307219662,0.614439324,5.837173579,6.451612903,234241,,,,,,,
Alaska,Prince of Wales-Hyder Census Area,6203,-157,59,53,6,2,-166,-164,1,50,9.392660989,8.437475125,0.955185863,0.318395288,-26.42680888,-26.1084136,295647,,,,,,,
Alaska,Sitka City and Borough,8493,-61,77,58,19,16,-96,-80,0,258,9.033847598,6.804716372,2.229131225,1.877163137,-11.26297882,-9.385815686,607495,,,,,,,
Alaska,Skagway Municipality,1183,14,8,14,-6,0,20,20,0,32,6.802721088,11.90476191,-5.102040816,0,17.00680272,17.00680272,96794,,,,,,,
Alaska,Southeast Fairbanks Census Area,6893,-44,109,35,74,12,-129,-117,-1,369,15.76283442,5.061460593,10.70137383,1.735357918,-18.65509761,-16.9197397,357651,,,,,,,
Alaska,Valdez-Cordova Census Area,9202,41,118,58,60,-6,-13,-19,0,188,12.85193051,6.317050591,6.534879922,-0.653487992,-1.41589065,-2.069378642,584998,,,,,,,
Alaska,Wrangell City and Borough,2502,-36,21,34,-13,5,-30,-25,2,13,8.333333333,13.49206349,-5.158730159,1.984126984,-11.9047619,-9.920634921,122156,,,,,,,
Alaska,Yakutat City and Borough,579,-17,4,1,3,1,-22,-21,1,18,6.808510638,1.70212766,5.106382979,1.70212766,-37.44680851,-35.74468085,37864,,,,,,,
Alaska,Yukon-Koyukuk Census Area,5230,-129,76,69,7,2,-139,-137,1,31,14.35451884,13.03239211,1.322126735,0.377750496,-26.25365946,-25.87590896,316234,,,,,,,
Arizona,Apache County,71887,156,934,702,232,37,-112,-75,-1,956,13.00672618,9.775933379,3.230792798,0.515255748,-1.559693075,-1.044437327,2434043,58,16,12,,,,37
Arizona,Cochise County,125922,-489,1348,1312,36,66,-595,-529,4,4436,10.68429417,10.39895693,0.285337233,0.52311826,-4.715990378,-4.192872117,5159382,125,20,,,,9,28
Arizona,Coconino County,143476,953,1513,901,612,25,313,338,3,13646,10.58045658,6.300721331,4.279735244,0.174825786,2.188818842,2.363644628,7030941,106,15,9,,,,20
Arizona,Gila County,54018,217,514,811,-297,9,504,513,1,908,9.53449763,15.0437307,-5.509233067,0.166946457,9.349001567,9.515948024,2147965,71,26,,,,,
Arizona,Graham County,38837,842,526,323,203,30,607,637,2,2922,13.69221158,8.407955019,5.28425656,0.780924615,15.80070804,16.58163265,1212564,27,14,,,,18,15
Arizona,Greenlee County,9498,50,144,49,95,8,-52,-44,-1,34,15.20109786,5.172595799,10.02850206,0.844505437,-5.489285337,-4.644779901,388920,,,,,,,
Arizona,La Paz County,21108,69,191,310,-119,68,123,191,-3,374,9.06351579,14.7104183,-5.646902508,3.226801433,5.836714357,9.06351579,730974,43,42,,,,,
Arizona,Maricopa County,4485414,83011,52722,33023,19699,5520,57477,62997,315,67191,11.86388064,7.431071094,4.432809541,1.242149788,12.93388467,14.17603445,223097349,3033,14,10,5,23,10,16
Arizona,Mohave County,212181,2889,1752,3375,-1623,-246,4724,4478,34,4762,8.31369981,16.01526076,-7.701560954,-1.167334562,22.41661981,21.24928525,7329418,285,27,,,,12,31
Arizona,Navajo County,110924,682,1447,1117,330,44,311,355,-3,1922,13.08519393,10.1010101,2.984183826,0.397891177,2.812367181,3.210258358,3554005,113,21,12,,,,33
Arizona,Pima County,1047279,10725,10891,10199,692,1204,8801,10005,28,24751,10.45285299,9.78869228,0.664160708,1.15556285,8.446934087,9.602496937,46847970,862,17,18,7,24,12,20
Arizona,Pinal County,462789,15983,4568,3330,1238,487,14180,14667,78,25918,10.04403059,7.321939984,2.722090601,1.070806238,31.17871141,32.24951764,15095167,316,15,29,,,8,18
Arizona,Santa Cruz County,46498,103,619,316,303,56,-257,-201,1,474,13.32716136,6.803526638,6.52363472,1.205688265,-5.53324793,-4.327559665,1788478,17,7,,,,,
Arizona,Yavapai County,235099,3327,1782,3042,-1260,-72,4636,4564,23,4140,7.633800343,13.03143695,-5.397636606,-0.308436378,19.85987564,19.55143926,9696469,302,26,,,,7,30
Arizona,Yuma County,213787,2175,2991,1713,1278,546,357,903,-6,9459,14.0620923,8.053615547,6.008476748,2.567001803,1.678424256,4.245426059,7510265,121,12,,,,7,21
Arkansas,Arkansas County,17486,-240,206,216,-10,-3,-229,-232,2,247,11.70055663,12.26854481,-0.567988186,-0.170396456,-13.00692946,-13.17732591,805781,17,19,,,,,
Arkansas,Ashley County,19657,-355,213,251,-38,-4,-313,-317,0,191,10.7388641,12.65471779,-1.915853689,-0.201668809,-15.78058434,-15.98225314,736738,23,23,,,,,
Arkansas,Baxter County,41932,308,349,695,-346,-1,656,655,-1,595,8.35367897,16.63554981,-8.281870841,-0.023936043,15.70204414,15.6781081,1589023,60,29,,,,,
Arkansas,Benton County,279141,6875,3744,1820,1924,107,4823,4930,21,2081,13.57980584,6.601294507,6.978511336,0.388098084,17.49343044,17.88152853,26334638,142,11,,,,,
Arkansas,Boone County,37432,47,407,460,-53,-11,114,103,-3,465,10.87988024,12.29667054,-1.416790302,-0.294050817,3.047435743,2.753384926,1360735,39,21,,,,,
Arkansas,Bradley County,10763,-75,116,130,-14,-5,-56,-61,0,227,10.74024351,12.03647979,-1.296236285,-0.46294153,-5.184945141,-5.647886672,421936,10,18,,,,,
Arkansas,Calhoun County,5189,-38,39,48,-9,-1,-28,-29,0,175,7.488479263,9.216589862,-1.728110599,-0.192012289,-5.376344086,-5.568356375,183945,,,,,,,
Arkansas,Carroll County,28380,283,301,305,-4,25,265,290,-3,230,10.6592064,10.80085699,-0.141650583,0.885316146,9.384351152,10.2696673,933476,21,15,,,,,
Arkansas,Chicot County,10118,-324,111,150,-39,-2,-283,-285,0,769,10.79766537,14.59143969,-3.793774319,-0.194552529,-27.52918288,-27.72373541,396625,11,21,,,,,
Arkansas,Clark County,22320,7,233,241,-8,2,14,16,-1,2986,10.44070531,10.79918446,-0.358479152,0.089619788,0.627338516,0.716958304,825333,12,11,,,,,
Arkansas,Clay County,14551,-212,155,197,-42,0,-170,-170,0,125,10.57515181,13.44067681,-2.865525005,0,-11.59855359,-11.59855359,521389,14,19,,,,,
Arkansas,Cleburne County,24919,-75,227,385,-158,-6,90,84,-1,339,9.095826739,15.42684271,-6.331015968,-0.240418328,3.606274918,3.365856591,983146,28,22,,,,,
Arkansas,Cleveland County,7956,-39,75,88,-13,-1,-25,-26,0,52,9.403799135,11.03379099,-1.62999185,-0.125383988,-3.134599712,-3.2599837,314805,,,,,,,
Arkansas,Columbia County,23457,-129,262,279,-17,9,-120,-111,-1,2161,11.1387454,11.86148843,-0.722743022,0.382628659,-5.101715452,-4.719086793,874633,23,19,,,,,
Arkansas,Conway County,20846,21,227,213,14,-5,14,9,-2,285,10.89486693,10.22293682,0.671930119,-0.239975043,0.671930119,0.431955077,804111,16,15,,,,,
Arkansas,Craighead County,110332,1516,1456,1030,426,47,1044,1091,-1,3837,13.28782375,9.400040156,3.887783598,0.428933871,9.527807692,9.956741563,4249718,93,17,,,22,,18
Arkansas,Crawford County,63257,-122,758,658,100,5,-227,-222,0,540,11.97131937,10.39198964,1.579329733,0.078966487,-3.585078493,-3.506112006,2145480,43,14,,,,,
Arkansas,Crittenden County,47955,-408,722,534,188,-7,-591,-598,2,1053,14.99200565,11.08827011,3.903735543,-0.145351855,-12.2718495,-12.41720135,1840141,65,27,,,34,,20
Arkansas,Cross County,16419,-211,194,207,-13,2,-202,-200,2,225,11.74014342,12.52685407,-0.786710642,0.121032406,-12.22427305,-12.10324064,609784,14,17,,,,,
Arkansas,Dallas County,7009,-143,73,79,-6,-2,-133,-135,-2,401,10.31000636,11.15740414,-0.847397783,-0.282465928,-18.78398418,-19.06645011,258491,11,30,,,,,
Arkansas,Desha County,11361,-146,135,172,-37,-1,-108,-109,0,56,11.80689173,15.04285464,-3.235962918,-0.087458457,-9.445513381,-9.532971838,450395,13,22,,,,,
Arkansas,Drew County,18219,-109,228,198,30,-5,-134,-139,0,895,12.4770843,10.83536268,1.641721619,-0.27362027,-7.33302323,-7.6066435,685802,18,19,,,,,
Arkansas,Faulkner County,126007,869,1516,920,596,41,232,273,0,4407,12.072707,7.326444882,4.74626212,0.326504609,1.847538275,2.174042884,4949464,92,15,,,16,,16
Arkansas,Franklin County,17715,-49,178,190,-12,-1,-34,-35,-2,447,10.03410468,10.71056118,-0.676456495,-0.056371375,-1.916626737,-1.972998112,582498,17,19,,,,,
Arkansas,Fulton County,12477,169,134,201,-67,5,232,237,-1,165,10.81299173,16.21948759,-5.406495864,0.403469841,18.72100061,19.12447045,356167,13,21,,,,,
Arkansas,Garland County,99386,420,1071,1347,-276,-27,726,699,-3,2165,10.79898363,13.58191498,-2.782931354,-0.272243285,7.320319432,7.048076148,4128324,125,25,,,38,,25
Arkansas,Grant County,18265,85,172,188,-16,-6,107,101,0,143,9.438880505,10.3169159,-0.878035396,-0.329263273,5.871861709,5.542598436,719126,20,22,,,,,
Arkansas,Greene County,45325,-14,587,505,82,-7,-87,-94,-2,602,12.94891026,11.14003353,1.808876732,-0.154416306,-1.919174093,-2.0735904,1625432,53,24,,,,,
Arkansas,Hempstead County,21532,-153,291,233,58,-13,-199,-212,1,301,13.46692274,10.78279381,2.684128931,-0.601615105,-9.209338918,-9.810954023,685847,14,13,,,,,
Arkansas,Hot Spring County,33771,99,361,379,-18,-1,119,118,-1,2332,10.70533636,11.23912044,-0.533784084,-0.029654671,3.528905891,3.49925122,1070839,39,23,,,,,
Arkansas,Howard County,13202,-100,172,171,1,-2,-99,-101,0,181,12.97917296,12.90371265,0.075460308,-0.150920616,-7.47057048,-7.621491096,450339,,,,,,,
Arkansas,Independence County,37825,57,513,430,83,-7,-17,-24,-2,966,13.5726853,11.37671478,2.195970526,-0.185202334,-0.449777096,-0.634979429,1372542,33,18,,,,,
Arkansas,Izard County,13629,47,119,188,-69,2,113,115,1,1002,8.746462828,13.81794127,-5.071478446,0.146999375,8.305464702,8.452464077,417880,14,21,,,,,
Arkansas,Jackson County,16719,-34,187,206,-19,-2,-12,-14,-1,2210,11.17351816,12.30879541,-1.135277247,-0.119502868,-0.717017208,-0.836520076,638630,11,13,,,,,
Arkansas,Jefferson County,66824,-1243,788,827,-39,6,-1214,-1208,4,5424,11.68350743,12.26175208,-0.578244657,0.088960716,-17.99971829,-17.91075757,2420985,126,36,,,43,,29
Arkansas,Johnson County,26578,-81,326,252,74,-4,-150,-154,-1,690,12.24712136,9.467099949,2.780021414,-0.150271428,-5.635178541,-5.785449969,765285,25,19,,,,,
Arkansas,Lafayette County,6624,-55,61,94,-33,-1,-20,-21,-1,105,9.170863715,14.13215064,-4.961286928,-0.150342028,-3.006840562,-3.15718259,237431,12,35,,,,,
Arkansas,Lawrence County,16406,-26,194,249,-55,-3,32,29,0,663,11.81557951,15.16535721,-3.349777697,-0.182715147,1.948961569,1.766246422,552406,15,18,,,,,
Arkansas,Lee County,8857,-119,81,120,-39,0,-80,-80,0,1738,9.084281949,13.45819548,-4.373913531,0,-8.97213032,-8.97213032,269006,,,,,,,
Arkansas,Lincoln County,13024,-160,100,146,-46,1,-113,-112,-2,3547,7.631257631,11.14163614,-3.51037851,0.076312576,-8.623321123,-8.547008547,360559,,,,,,,
Arkansas,Little River County,12259,-38,136,176,-40,-3,6,3,-1,123,11.07672259,14.33458218,-3.257859586,-0.244339469,0.488678938,0.244339469,425356,10,16,,,,,
Arkansas,Logan County,21466,-207,235,296,-61,10,-156,-146,0,579,10.89501379,13.7230812,-2.82806741,0.463617608,-7.232434688,-6.76881708,702071,17,16,,,,,
Arkansas,Lonoke County,73309,-82,858,690,168,-12,-242,-254,4,573,11.69734151,9.406952965,2.290388548,-0.163599182,-3.29925017,-3.462849352,3006697,57,16,,,,,
Arkansas,Madison County,16576,214,207,141,66,-5,152,147,1,79,12.56906916,8.561539863,4.007529298,-0.303600704,9.229461412,8.925860708,560097,11,14,,,,,
Arkansas,Marion County,16694,29,141,278,-137,-4,172,168,-2,141,8.453490812,16.66716628,-8.21367547,-0.239815342,10.31205971,10.07224437,524219,23,28,,,,,
