State,County,Average Number of guns
Alabama,Lowndes ,2412.552239
Alabama,Macon ,2412.552239
Alabama,Madison ,2412.552239
Alabama,Marengo ,2412.552239
Alabama,Marion ,2412.552239
Alabama,Marshall ,2412.552239
Alabama,Mobile ,2412.552239
Alabama,Monroe ,2412.552239
Alabama,Montgomery ,2412.552239
Alabama,Morgan ,2412.552239
Alabama,Perry ,2412.552239
Alabama,Pickens ,2412.552239
Alabama,Pike ,2412.552239
Alabama,Randolph ,2412.552239
Alabama,Russell ,2412.552239
Alabama,Shelby ,2412.552239
Alabama,St. Clair ,2412.552239
Alabama,Sumter ,2412.552239
Alabama,Talladega ,2412.552239
Alabama,Tallapoosa ,2412.552239
Alabama,Tuscaloosa ,2412.552239
Alabama,Walker ,2412.552239
Alabama,Washington County ,2412.552239
Alabama,Wilcox ,2412.552239
Alabama,Winston ,2412.552239
Alaska,Aleutians East Borough,930.8235294
Alaska,Anchorage Borough,930.8235294
Alaska,Bristol Bay Borough,930.8235294
Alaska,Denali Borough,930.8235294
Alaska,Fairbanks North Star Borough,930.8235294
Alaska,Haines Borough,930.8235294
Alaska,Juneau Borough,930.8235294
Alaska,Kenai Peninsula Borough,930.8235294
Alaska,Ketchikan Gateway Borough,930.8235294
Alaska,Kodiak Island Borough,930.8235294
Alaska,Lake and Peninsula Borough,930.8235294
Alaska,Matanuska-Susitna Borough,930.8235294
Alaska,North Slope Borough,930.8235294
Alaska,Northwest Arctic Borough,930.8235294
Alaska,Sitka Borough,930.8235294
Alaska,Southeast Fairbanks Borough,930.8235294
Alaska,Yakutat Borough,930.8235294
Arizona,Apache,11982.53333
Arizona,Cochise,11958.53333
Arizona,Coconino,11958.53333
Arizona,Gila,11958.53333
Arizona,Graham,11958.53333
Arizona,Greenlee,11958.53333
Arizona,La Paz,11958.53333
Arizona,Maricopa,11958.53333
Arizona,Mohave,11958.53333
Arizona,Navajo,11958.53333
Arizona,Pima,11958.53333
Arizona,Pinal,11958.53333
Arizona,Santa Cruz,11958.53333
Arizona,Yavapai,11958.53333
